0;300
1;377
2;259
3;420
4;223
5;456
6;191
7;486
8;163
9;511
10;139
11;533
12;119
13;552
14;102
15;571
16;86
17;583
18;74
19;583
20;63
21;563
22;73
23;538
24;111
25;490
26;173
27;424
28;246
29;365
30;306
31;314
32;361
33;272
34;412
35;235
36;449
37;203
38;482
39;176
40;511
41;151
42;534
43;129
44;555
45;111
46;571
47;95
48;585
49;83
50;597
51;74
52;593
53;82
54;567
55;110
56;518
57;165
58;454
59;231
60;387
61;291
62;326
63;345
64;279
65;392
66;238
67;430
68;206
69;464
70;176
71;494
72;150
73;519
74;129
75;541
76;111
77;561
78;96
79;576
80;83
81;588
82;72
83;589
84;70
85;569
86;87
87;526
88;123
89;464
90;180
91;395
92;250
93;335
94;310
95;286
96;361
97;246
98;405
99;212
100;443
101;182
102;476
103;156
104;504
105;134
106;528
107;115
108;548
109;100
110;568
111;85
112;580
113;74
114;586
115;66
116;571
117;73
118;539
119;102
120;479
121;153
122;408
123;223
124;350
125;288
126;301
127;345
128;259
129;393
130;220
131;430
132;188
133;465
134;160
135;491
136;134
137;512
138;112
139;534
140;96
141;555
142;84
143;571
144;75
145;579
146;65
147;569
148;62
149;545
150;80
151;497
152;121
153;434
154;188
155;371
156;260
157;321
158;319
159;275
160;369
161;232
162;406
163;195
164;441
165;168
166;476
167;146
168;507
169;127
170;532
171;109
172;551
173;95
174;570
175;83
176;584
177;73
178;590
179;68
180;574
181;85
182;540
183;123
184;483
185;184
186;416
187;255
188;356
189;316
190;306
191;371
192;263
193;413
194;230
195;452
196;197
197;484
198;169
199;512
200;145
201;534
202;125
203;555
204;108
205;574
206;93
207;588
208;81
209;598
210;75
211;591
212;88
213;563
214;123
215;515
216;178
217;446
218;246
219;380
220;310
221;326
222;362
223;282
224;408
225;241
226;446
227;208
228;480
229;180
230;507
231;153
232;530
233;132
234;550
235;112
236;568
237;97
238;584
239;84
240;594
241;73
242;592
243;79
244;570
245;104
246;524
247;158
248;461
249;225
250;392
251;289
252;336
253;345
254;289
255;394
256;246
257;434
258;211
259;467
260;181
261;497
